Criteria;Classifier;n;l;Freq. Threshold;TP;FP;TN;FN;Recall;Precision;F-Measure
task_successful;mean kullback leibler;1;0.05;1;55.0;19.0;54.0;68.0;0.447154471545;0.743243243243;0.558375634518
task_successful;mean kullback leibler;1;0.25;1;34.0;5.0;68.0;89.0;0.276422764228;0.871794871795;0.41975308642
task_successful;mean kullback leibler;1;0.5;1;17.0;3.0;70.0;106.0;0.138211382114;0.85;0.237762237762
task_successful;symmetric kullback leibler;1;0.05;1;55.0;19.0;54.0;68.0;0.447154471545;0.743243243243;0.558375634518
task_successful;symmetric kullback leibler;1;0.25;1;34.0;5.0;68.0;89.0;0.276422764228;0.871794871795;0.41975308642
task_successful;symmetric kullback leibler;1;0.5;1;17.0;3.0;70.0;106.0;0.138211382114;0.85;0.237762237762
task_successful;mean kullback leibler;2;0.05;1;34.0;14.0;59.0;89.0;0.276422764228;0.708333333333;0.397660818713
task_successful;mean kullback leibler;2;0.25;1;10.0;2.0;71.0;113.0;0.0813008130081;0.833333333333;0.148148148148
task_successful;mean kullback leibler;2;0.5;1;2.0;1.0;72.0;121.0;0.0162601626016;0.666666666667;0.031746031746
task_successful;symmetric kullback leibler;2;0.05;1;34.0;14.0;59.0;89.0;0.276422764228;0.708333333333;0.397660818713
task_successful;symmetric kullback leibler;2;0.25;1;10.0;2.0;71.0;113.0;0.0813008130081;0.833333333333;0.148148148148
task_successful;symmetric kullback leibler;2;0.5;1;2.0;1.0;72.0;121.0;0.0162601626016;0.666666666667;0.031746031746
task_successful;mean kullback leibler;3;0.05;1;23.0;8.0;65.0;100.0;0.186991869919;0.741935483871;0.298701298701
task_successful;mean kullback leibler;3;0.25;1;5.0;1.0;72.0;118.0;0.0406504065041;0.833333333333;0.077519379845
task_successful;mean kullback leibler;3;0.5;1;0.0;1.0;72.0;123.0;0;0;0
task_successful;symmetric kullback leibler;3;0.05;1;23.0;8.0;65.0;100.0;0.186991869919;0.741935483871;0.298701298701
task_successful;symmetric kullback leibler;3;0.25;1;5.0;1.0;72.0;118.0;0.0406504065041;0.833333333333;0.077519379845
task_successful;symmetric kullback leibler;3;0.5;1;0.0;1.0;72.0;123.0;0;0;0
task_successful;mean kullback leibler;4;0.05;1;18.0;5.0;68.0;105.0;0.146341463415;0.782608695652;0.246575342466
task_successful;mean kullback leibler;4;0.25;1;0.0;1.0;72.0;123.0;0;0;0
task_successful;mean kullback leibler;4;0.5;1;0.0;0.0;73.0;123.0;0;0;0
