Criteria;Classifier;n;l;Freq. Threshold;TP;FP;TN;FN;Recall;Precision;F-Measure
task_successful;cosine;1;0.05;1;61.0;33.0;40.0;62.0;0.49593495935;0.648936170213;0.562211981567
task_successful;cosine;1;0.25;1;61.0;33.0;40.0;62.0;0.49593495935;0.648936170213;0.562211981567
task_successful;cosine;1;0.5;1;61.0;33.0;40.0;62.0;0.49593495935;0.648936170213;0.562211981567
task_successful;cosine;1;0.05;2;64.0;32.0;41.0;59.0;0.520325203252;0.666666666667;0.584474885845
task_successful;cosine;1;0.25;2;64.0;32.0;41.0;59.0;0.520325203252;0.666666666667;0.584474885845
task_successful;cosine;1;0.5;2;64.0;32.0;41.0;59.0;0.520325203252;0.666666666667;0.584474885845
task_successful;jensen;1;0.05;1;60.0;32.0;41.0;63.0;0.487804878049;0.652173913043;0.558139534884
task_successful;jensen;1;0.25;1;59.0;30.0;43.0;64.0;0.479674796748;0.662921348315;0.556603773585
task_successful;jensen;1;0.5;1;58.0;30.0;43.0;65.0;0.471544715447;0.659090909091;0.549763033175
task_successful;jensen;1;0.05;2;66.0;32.0;41.0;57.0;0.536585365854;0.673469387755;0.597285067873
task_successful;jensen;1;0.25;2;66.0;32.0;41.0;57.0;0.536585365854;0.673469387755;0.597285067873
task_successful;jensen;1;0.5;2;63.0;32.0;41.0;60.0;0.512195121951;0.663157894737;0.577981651376
task_successful;mean kullback leibler;1;0.05;1;60.0;33.0;40.0;63.0;0.487804878049;0.645161290323;0.555555555556
task_successful;mean kullback leibler;1;0.25;1;58.0;31.0;42.0;65.0;0.471544715447;0.651685393258;0.547169811321
task_successful;mean kullback leibler;1;0.5;1;58.0;29.0;44.0;65.0;0.471544715447;0.666666666667;0.552380952381
task_successful;mean kullback leibler;1;0.05;2;66.0;30.0;43.0;57.0;0.536585365854;0.6875;0.602739726027
task_successful;mean kullback leibler;1;0.25;2;65.0;30.0;43.0;58.0;0.528455284553;0.684210526316;0.596330275229
task_successful;mean kullback leibler;1;0.5;2;60.0;28.0;45.0;63.0;0.487804878049;0.681818181818;0.568720379147
task_successful;rank order;1;0.05;1;0.0;0.0;73.0;123.0;0;0;0
task_successful;rank order;1;0.25;1;0.0;0.0;73.0;123.0;0;0;0
task_successful;rank order;1;0.5;1;0.0;0.0;73.0;123.0;0;0;0
task_successful;rank order;1;0.05;2;0.0;0.0;73.0;123.0;0;0;0
task_successful;rank order;1;0.25;2;0.0;0.0;73.0;123.0;0;0;0
task_successful;rank order;1;0.5;2;0.0;0.0;73.0;123.0;0;0;0
