Criteria,Classifier,n,TP,FP,TN,FN,Recall,Precision,F-Measure
task_success,cosine,1,78.0,49.0,24.0,45.0,0.634146341463,0.614173228346,0.624
task_success,cosine,1,45.0,24.0,49.0,78.0,0.365853658537,0.652173913043,0.46875
task_success,jensen,1,24.0,17.0,56.0,99.0,0.19512195122,0.585365853659,0.292682926829
task_success,jensen,1,24.0,13.0,60.0,99.0,0.19512195122,0.648648648649,0.3
task_success,cosine,2,7.0,4.0,69.0,116.0,0.0569105691057,0.636363636364,0.10447761194
task_success,cosine,2,118.0,70.0,3.0,5.0,0.959349593496,0.627659574468,0.75884244373
task_success,jensen,2,0.0,0.0,73.0,123.0,0,0,0.0
task_success,jensen,2,99.0,50.0,23.0,24.0,0.80487804878,0.664429530201,0.727941176471
length_of_interaction,cosine,1,49.0,18.0,32.0,0.0,1.0,0.731343283582,0.844827586207
length_of_interaction,cosine,1,12.0,9.0,41.0,37.0,0.244897959184,0.571428571429,0.342857142857
length_of_interaction,jensen,1,49.0,31.0,19.0,0.0,1.0,0.6125,0.759689922481
length_of_interaction,jensen,1,45.0,14.0,36.0,4.0,0.918367346939,0.762711864407,0.833333333333
length_of_interaction,cosine,2,49.0,32.0,18.0,0.0,1.0,0.604938271605,0.753846153846
length_of_interaction,cosine,2,49.0,1.0,49.0,0.0,1.0,0.98,0.989898989899
length_of_interaction,jensen,2,49.0,50.0,0.0,0.0,1.0,0.494949494949,0.662162162162
length_of_interaction,jensen,2,49.0,10.0,40.0,0.0,1.0,0.830508474576,0.907407407407
word_accuracy,cosine,1,11.0,71.0,28.0,6.0,0.647058823529,0.134146341463,0.222222222222
word_accuracy,cosine,1,3.0,13.0,86.0,14.0,0.176470588235,0.1875,0.181818181818
word_accuracy,jensen,1,15.0,94.0,5.0,2.0,0.882352941176,0.137614678899,0.238095238095
word_accuracy,jensen,1,4.0,24.0,75.0,13.0,0.235294117647,0.142857142857,0.177777777778
word_accuracy,cosine,2,17.0,96.0,3.0,0.0,1.0,0.150442477876,0.261538461538
word_accuracy,cosine,2,1.0,5.0,94.0,16.0,0.0588235294118,0.166666666667,0.0869565217391
word_accuracy,jensen,2,17.0,99.0,0.0,0.0,1.0,0.146551724138,0.255639097744
word_accuracy,jensen,2,6.0,37.0,62.0,11.0,0.352941176471,0.139534883721,0.2
