Criteria,Classifier,n,Freq. Threshold,TP,FP,TN,FN,Recall,Precision,F-Measure
task_success,cosine,1,1,78.0,49.0,24.0,45.0,0.634146341463,0.614173228346,0.624
task_success,cosine,2,1,7.0,4.0,69.0,116.0,0.0569105691057,0.636363636364,0.10447761194
task_success,cosine,3,1,0.0,0.0,73.0,123.0,0,0,0.0
task_success,cosine,4,1,1.0,0.0,73.0,122.0,0.00813008130081,1.0,0.0161290322581
task_success,cosine,5,1,0.0,0.0,73.0,123.0,0,0,0.0
task_success,cosine,6,1,0.0,0.0,73.0,123.0,0,0,0.0
task_success,cosine,7,1,0.0,0.0,73.0,123.0,0,0,0.0
task_success,cosine,8,1,0.0,0.0,73.0,123.0,0,0,0.0
length_of_interaction,cosine,1,1,49.0,18.0,32.0,0.0,1.0,0.731343283582,0.844827586207
length_of_interaction,cosine,2,1,49.0,32.0,18.0,0.0,1.0,0.604938271605,0.753846153846
length_of_interaction,cosine,3,1,47.0,41.0,9.0,2.0,0.959183673469,0.534090909091,0.686131386861
length_of_interaction,cosine,4,1,46.0,32.0,18.0,3.0,0.938775510204,0.589743589744,0.724409448819
length_of_interaction,cosine,5,1,27.0,41.0,9.0,22.0,0.551020408163,0.397058823529,0.461538461538
length_of_interaction,cosine,6,1,2.0,0.0,50.0,47.0,0.0408163265306,1.0,0.078431372549
length_of_interaction,cosine,7,1,2.0,0.0,50.0,47.0,0.0408163265306,1.0,0.078431372549
length_of_interaction,cosine,8,1,0.0,0.0,50.0,49.0,0,0,0.0
word_accuracy,cosine,1,1,11.0,71.0,28.0,6.0,0.647058823529,0.134146341463,0.222222222222
word_accuracy,cosine,2,1,17.0,96.0,3.0,0.0,1.0,0.150442477876,0.261538461538
word_accuracy,cosine,3,1,14.0,72.0,27.0,3.0,0.823529411765,0.162790697674,0.271844660194
word_accuracy,cosine,4,1,17.0,99.0,0.0,0.0,1.0,0.146551724138,0.255639097744
word_accuracy,cosine,5,1,17.0,99.0,0.0,0.0,1.0,0.146551724138,0.255639097744
word_accuracy,cosine,6,1,17.0,99.0,0.0,0.0,1.0,0.146551724138,0.255639097744
word_accuracy,cosine,7,1,17.0,99.0,0.0,0.0,1.0,0.146551724138,0.255639097744
word_accuracy,cosine,8,1,17.0,99.0,0.0,0.0,1.0,0.146551724138,0.255639097744
