measure;reference;other;l;n;distance
cosine;juged_good;juged_bad;0.05;1;0.0735546287499
cosine;juged_good;juged_bad;0.25;1;0.0732433488693
cosine;juged_good;juged_bad;0.5;1;0.0728715737262
cosine;juged_good;juged_bad;0.05;2;0.137697175893
cosine;juged_good;juged_bad;0.25;2;0.13641374273
cosine;juged_good;juged_bad;0.5;2;0.134901683416
cosine;juged_good;juged_bad;0.05;3;0.216349394331
cosine;juged_good;juged_bad;0.25;3;0.21245766457
cosine;juged_good;juged_bad;0.5;3;0.207717363394
cosine;juged_good;juged_bad;0.05;4;0.233357997569
cosine;juged_good;juged_bad;0.25;4;0.227219872992
cosine;juged_good;juged_bad;0.5;4;0.21960217592
cosine;juged_good;juged_bad;0.05;5;0.213460694713
cosine;juged_good;juged_bad;0.25;5;0.205967057657
cosine;juged_good;juged_bad;0.5;5;0.196566212132
cosine;juged_good;juged_bad;0.05;6;0.201394008329
cosine;juged_good;juged_bad;0.25;6;0.19313533107
cosine;juged_good;juged_bad;0.5;6;0.18267509411
cosine;juged_good;juged_bad;0.05;7;0.183165484381
cosine;juged_good;juged_bad;0.25;7;0.174554250276
cosine;juged_good;juged_bad;0.5;7;0.163581527255
cosine;juged_good;juged_bad;0.05;8;0.17517287806
cosine;juged_good;juged_bad;0.25;8;0.166270400934
cosine;juged_good;juged_bad;0.5;8;0.154854532676
jensen;juged_good;juged_bad;0.05;1;0.0332964790828
jensen;juged_good;juged_bad;0.25;1;0.0310030666218
jensen;juged_good;juged_bad;0.5;1;0.0296695136148
jensen;juged_good;juged_bad;0.05;2;0.0866811313464
jensen;juged_good;juged_bad;0.25;2;0.070926990254
jensen;juged_good;juged_bad;0.5;2;0.0618975947349
jensen;juged_good;juged_bad;0.05;3;0.139764274682
jensen;juged_good;juged_bad;0.25;3;0.105620582913
jensen;juged_good;juged_bad;0.5;3;0.085819699798
jensen;juged_good;juged_bad;0.05;4;0.19079858965
jensen;juged_good;juged_bad;0.25;4;0.134431338126
jensen;juged_good;juged_bad;0.5;4;0.102378155156
jensen;juged_good;juged_bad;0.05;5;0.230228910326
jensen;juged_good;juged_bad;0.25;5;0.152077402258
jensen;juged_good;juged_bad;0.5;5;0.109392246689
jensen;juged_good;juged_bad;0.05;6;0.261864811299
jensen;juged_good;juged_bad;0.25;6;0.164093254485
jensen;juged_good;juged_bad;0.5;6;0.112612715355
jensen;juged_good;juged_bad;0.05;7;0.284829918566
jensen;juged_good;juged_bad;0.25;7;0.171358436841
jensen;juged_good;juged_bad;0.5;7;0.113387588537
jensen;juged_good;juged_bad;0.05;8;0.301994688758
jensen;juged_good;juged_bad;0.25;8;0.175463452025
jensen;juged_good;juged_bad;0.5;8;0.112666458818
kullback_leibler;juged_good;juged_bad;0.05;1;0.168479281944
kullback_leibler;juged_good;juged_bad;0.25;1;0.145949722362
kullback_leibler;juged_good;juged_bad;0.5;1;0.136349153949
kullback_leibler;juged_good;juged_bad;0.05;2;0.461031086461
kullback_leibler;juged_good;juged_bad;0.25;2;0.340819407673
kullback_leibler;juged_good;juged_bad;0.5;2;0.28562372384
kullback_leibler;juged_good;juged_bad;0.05;3;0.769687340457
kullback_leibler;juged_good;juged_bad;0.25;3;0.513066698066
kullback_leibler;juged_good;juged_bad;0.5;3;0.395410902544
kullback_leibler;juged_good;juged_bad;0.05;4;1.06144637358
