Criteria;Classifier;n;Freq. Threshold;TP;FP;TN;FN;Recall;Precision;F-Measure
task_success;cosine;1;1;61.0;28.0;45.0;62.0;0.49593495935;0.685393258427;0.575471698113
task_success;cosine;1;2;63.0;28.0;45.0;60.0;0.512195121951;0.692307692308;0.588785046729
task_success;cosine;1;3;64.0;28.0;45.0;59.0;0.520325203252;0.695652173913;0.595348837209
task_success;cosine;1;4;61.0;26.0;47.0;62.0;0.49593495935;0.701149425287;0.580952380952
task_success;cosine;1;5;62.0;25.0;48.0;61.0;0.50406504065;0.712643678161;0.590476190476
task_success;cosine;1;6;59.0;25.0;48.0;64.0;0.479674796748;0.702380952381;0.570048309179
task_success;cosine;1;7;65.0;24.0;49.0;58.0;0.528455284553;0.730337078652;0.61320754717
task_success;jensen;1;1;52.0;19.0;54.0;71.0;0.422764227642;0.732394366197;0.536082474227
task_success;jensen;1;2;61.0;23.0;50.0;62.0;0.49593495935;0.72619047619;0.589371980676
task_success;jensen;1;3;62.0;26.0;47.0;61.0;0.50406504065;0.704545454545;0.587677725118
task_success;jensen;1;4;62.0;26.0;47.0;61.0;0.50406504065;0.704545454545;0.587677725118
task_success;jensen;1;5;73.0;25.0;48.0;50.0;0.593495934959;0.744897959184;0.660633484163
task_success;jensen;1;6;69.0;26.0;47.0;54.0;0.560975609756;0.726315789474;0.633027522936
task_success;jensen;1;7;65.0;22.0;51.0;58.0;0.528455284553;0.747126436782;0.619047619048
task_success;kullback leibler;1;1;55.0;20.0;53.0;68.0;0.447154471545;0.733333333333;0.555555555556
task_success;kullback leibler;1;2;58.0;22.0;51.0;65.0;0.471544715447;0.725;0.571428571429
task_success;kullback leibler;1;3;63.0;27.0;46.0;60.0;0.512195121951;0.7;0.591549295775
task_success;kullback leibler;1;4;58.0;27.0;46.0;65.0;0.471544715447;0.682352941176;0.557692307692
task_success;kullback leibler;1;5;69.0;24.0;49.0;54.0;0.560975609756;0.741935483871;0.638888888889
task_success;kullback leibler;1;6;65.0;27.0;46.0;58.0;0.528455284553;0.70652173913;0.604651162791
task_success;kullback leibler;1;7;60.0;21.0;52.0;63.0;0.487804878049;0.740740740741;0.588235294118
task_success;mean kullback leibler;1;1;55.0;19.0;54.0;68.0;0.447154471545;0.743243243243;0.558375634518
task_success;mean kullback leibler;1;2;65.0;24.0;49.0;58.0;0.528455284553;0.730337078652;0.61320754717
task_success;mean kullback leibler;1;3;64.0;25.0;48.0;59.0;0.520325203252;0.719101123596;0.603773584906
task_success;mean kullback leibler;1;4;68.0;26.0;47.0;55.0;0.552845528455;0.723404255319;0.626728110599
task_success;mean kullback leibler;1;5;71.0;25.0;48.0;52.0;0.577235772358;0.739583333333;0.648401826484
task_success;mean kullback leibler;1;6;68.0;25.0;48.0;55.0;0.552845528455;0.731182795699;0.62962962963
task_success;mean kullback leibler;1;7;64.0;23.0;50.0;59.0;0.520325203252;0.735632183908;0.609523809524
task_success;symmetric kullback leibler;1;1;55.0;19.0;54.0;68.0;0.447154471545;0.743243243243;0.558375634518
task_success;symmetric kullback leibler;1;2;65.0;24.0;49.0;58.0;0.528455284553;0.730337078652;0.61320754717
task_success;symmetric kullback leibler;1;3;64.0;25.0;48.0;59.0;0.520325203252;0.719101123596;0.603773584906
task_success;symmetric kullback leibler;1;4;68.0;26.0;47.0;55.0;0.552845528455;0.723404255319;0.626728110599
task_success;symmetric kullback leibler;1;5;71.0;25.0;48.0;52.0;0.577235772358;0.739583333333;0.648401826484
task_success;symmetric kullback leibler;1;6;68.0;25.0;48.0;55.0;0.552845528455;0.731182795699;0.62962962963
task_success;symmetric kullback leibler;1;7;64.0;23.0;50.0;59.0;0.520325203252;0.735632183908;0.609523809524
task_success;cosine;2;1;61.0;26.0;47.0;62.0;0.49593495935;0.701149425287;0.580952380952
task_success;cosine;2;2;64.0;27.0;46.0;59.0;0.520325203252;0.703296703297;0.598130841121
task_success;cosine;2;3;69.0;24.0;49.0;54.0;0.560975609756;0.741935483871;0.638888888889
task_success;cosine;2;4;65.0;27.0;46.0;58.0;0.528455284553;0.70652173913;0.604651162791
task_success;cosine;2;5;64.0;26.0;47.0;59.0;0.520325203252;0.711111111111;0.600938967136
task_success;cosine;2;6;58.0;26.0;47.0;65.0;0.471544715447;0.690476190476;0.56038647343
