Criteria;Classifier;n;l;Freq. Threshold;TP;FP;TN;FN;Recall;Precision;F-Measure
simulation_quality_best;cosine;1;0.05;1;833.0;515.0;1065.0;747.0;0.527215189873;0.617952522255;0.568989071038
simulation_quality_best;cosine;1;0.25;1;787.0;453.0;1127.0;793.0;0.498101265823;0.634677419355;0.558156028369
simulation_quality_best;cosine;1;0.5;1;678.0;344.0;1236.0;902.0;0.429113924051;0.663405088063;0.521137586472
simulation_quality_best;jensen;1;0.05;1;646.0;345.0;1235.0;934.0;0.408860759494;0.651866801211;0.502528199144
simulation_quality_best;jensen;1;0.25;1;272.0;41.0;1539.0;1308.0;0.172151898734;0.869009584665;0.287374537771
simulation_quality_best;jensen;1;0.5;1;153.0;5.0;1575.0;1427.0;0.096835443038;0.96835443038;0.176064441887
simulation_quality_best;kullback leibler;1;0.05;1;289.0;79.0;1501.0;1291.0;0.182911392405;0.785326086957;0.296714579055
simulation_quality_best;kullback leibler;1;0.25;1;1.0;0.0;1580.0;1579.0;0.000632911392405;1.0;0.00126502213789
simulation_quality_best;kullback leibler;1;0.5;1;0.0;0.0;1580.0;1580.0;0;0;0
simulation_quality_best;mean kullback leibler;1;0.05;1;476.0;225.0;1355.0;1104.0;0.301265822785;0.679029957204;0.417360806664
simulation_quality_best;mean kullback leibler;1;0.25;1;125.0;1.0;1579.0;1455.0;0.0791139240506;0.992063492063;0.146541617819
simulation_quality_best;mean kullback leibler;1;0.5;1;20.0;0.0;1580.0;1560.0;0.0126582278481;1.0;0.025
simulation_quality_best;symmetric kullback leibler;1;0.05;1;476.0;225.0;1355.0;1104.0;0.301265822785;0.679029957204;0.417360806664
simulation_quality_best;symmetric kullback leibler;1;0.25;1;125.0;1.0;1579.0;1455.0;0.0791139240506;0.992063492063;0.146541617819
simulation_quality_best;symmetric kullback leibler;1;0.5;1;20.0;0.0;1580.0;1560.0;0.0126582278481;1.0;0.025
simulation_quality_best;cosine;2;0.05;1;834.0;460.0;1120.0;746.0;0.527848101266;0.644513137558;0.580375782881
simulation_quality_best;cosine;2;0.25;1;889.0;507.0;1073.0;691.0;0.562658227848;0.636819484241;0.597446236559
simulation_quality_best;cosine;2;0.5;1;1189.0;816.0;764.0;391.0;0.75253164557;0.593017456359;0.663319386332
simulation_quality_best;jensen;2;0.05;1;451.0;110.0;1470.0;1129.0;0.285443037975;0.803921568627;0.421298458664
simulation_quality_best;jensen;2;0.25;1;354.0;10.0;1570.0;1226.0;0.224050632911;0.972527472527;0.364197530864
simulation_quality_best;jensen;2;0.5;1;319.0;0.0;1580.0;1261.0;0.201898734177;1.0;0.335966298052
simulation_quality_best;kullback leibler;2;0.05;1;325.0;17.0;1563.0;1255.0;0.205696202532;0.950292397661;0.338189386056
simulation_quality_best;kullback leibler;2;0.25;1;47.0;0.0;1580.0;1533.0;0.029746835443;1.0;0.0577750460971
simulation_quality_best;kullback leibler;2;0.5;1;4.0;0.0;1580.0;1576.0;0.00253164556962;1.0;0.00505050505051
simulation_quality_best;mean kullback leibler;2;0.05;1;429.0;103.0;1477.0;1151.0;0.271518987342;0.806390977444;0.40625
simulation_quality_best;mean kullback leibler;2;0.25;1;282.0;4.0;1576.0;1298.0;0.178481012658;0.986013986014;0.302250803859
simulation_quality_best;mean kullback leibler;2;0.5;1;237.0;0.0;1580.0;1343.0;0.15;1.0;0.260869565217
simulation_quality_best;symmetric kullback leibler;2;0.05;1;429.0;103.0;1477.0;1151.0;0.271518987342;0.806390977444;0.40625
simulation_quality_best;symmetric kullback leibler;2;0.25;1;282.0;4.0;1576.0;1298.0;0.178481012658;0.986013986014;0.302250803859
simulation_quality_best;symmetric kullback leibler;2;0.5;1;237.0;0.0;1580.0;1343.0;0.15;1.0;0.260869565217
simulation_quality_best;cosine;3;0.05;1;1027.0;669.0;911.0;553.0;0.65;0.60554245283;0.626984126984
simulation_quality_best;cosine;3;0.25;1;1318.0;922.0;658.0;262.0;0.83417721519;0.588392857143;0.690052356021
simulation_quality_best;cosine;3;0.5;1;1375.0;1028.0;552.0;205.0;0.870253164557;0.572201414898;0.69043434597
simulation_quality_best;jensen;3;0.05;1;467.0;99.0;1481.0;1113.0;0.295569620253;0.825088339223;0.43522833178
simulation_quality_best;jensen;3;0.25;1;391.0;15.0;1565.0;1189.0;0.24746835443;0.963054187192;0.393756294058
simulation_quality_best;jensen;3;0.5;1;378.0;5.0;1575.0;1202.0;0.239240506329;0.986945169713;0.385124808966
simulation_quality_best;kullback leibler;3;0.05;1;358.0;36.0;1544.0;1222.0;0.226582278481;0.908629441624;0.362715298886
simulation_quality_best;kullback leibler;3;0.25;1;84.0;0.0;1580.0;1496.0;0.053164556962;1.0;0.100961538462
simulation_quality_best;kullback leibler;3;0.5;1;11.0;0.0;1580.0;1569.0;0.00696202531646;1.0;0.0138277812696
simulation_quality_best;mean kullback leibler;3;0.05;1;491.0;125.0;1455.0;1089.0;0.310759493671;0.797077922078;0.447176684882
simulation_quality_best;mean kullback leibler;3;0.25;1;403.0;46.0;1534.0;1177.0;0.255063291139;0.897550111359;0.397240019714
simulation_quality_best;mean kullback leibler;3;0.5;1;392.0;32.0;1548.0;1188.0;0.248101265823;0.924528301887;0.39121756487
simulation_quality_best;symmetric kullback leibler;3;0.05;1;491.0;125.0;1455.0;1089.0;0.310759493671;0.797077922078;0.447176684882
simulation_quality_best;symmetric kullback leibler;3;0.25;1;403.0;46.0;1534.0;1177.0;0.255063291139;0.897550111359;0.397240019714
simulation_quality_best;symmetric kullback leibler;3;0.5;1;392.0;32.0;1548.0;1188.0;0.248101265823;0.924528301887;0.39121756487
simulation_quality_best;cosine;4;0.05;1;1159.0;882.0;698.0;421.0;0.733544303797;0.5678588927;0.640154653411
simulation_quality_best;cosine;4;0.25;1;1342.0;947.0;633.0;238.0;0.849367088608;0.58628221931;0.693719307315
simulation_quality_best;cosine;4;0.5;1;1570.0;1525.0;55.0;10.0;0.993670886076;0.507269789984;0.671657754011
simulation_quality_best;jensen;4;0.05;1;624.0;249.0;1331.0;956.0;0.394936708861;0.714776632302;0.508764777823
simulation_quality_best;jensen;4;0.25;1;1279.0;976.0;604.0;301.0;0.809493670886;0.567184035477;0.667014341591
simulation_quality_best;jensen;4;0.5;1;1546.0;1403.0;177.0;34.0;0.978481012658;0.524245506952;0.682711415323
simulation_quality_best;kullback leibler;4;0.05;1;389.0;58.0;1522.0;1191.0;0.246202531646;0.870246085011;0.383818450913
simulation_quality_best;kullback leibler;4;0.25;1;174.0;0.0;1580.0;1406.0;0.110126582278;1.0;0.198403648803
simulation_quality_best;kullback leibler;4;0.5;1;26.0;0.0;1580.0;1554.0;0.0164556962025;1.0;0.0323785803238
simulation_quality_best;mean kullback leibler;4;0.05;1;1106.0;748.0;832.0;474.0;0.7;0.596548004315;0.644146767618
simulation_quality_best;mean kullback leibler;4;0.25;1;1393.0;1063.0;517.0;187.0;0.88164556962;0.567182410423;0.69028741328
simulation_quality_best;mean kullback leibler;4;0.5;1;1567.0;1490.0;90.0;13.0;0.991772151899;0.512594046451;0.675868018115
simulation_quality_best;symmetric kullback leibler;4;0.05;1;1106.0;748.0;832.0;474.0;0.7;0.596548004315;0.644146767618
simulation_quality_best;symmetric kullback leibler;4;0.25;1;1393.0;1063.0;517.0;187.0;0.88164556962;0.567182410423;0.69028741328
simulation_quality_best;symmetric kullback leibler;4;0.5;1;1567.0;1490.0;90.0;13.0;0.991772151899;0.512594046451;0.675868018115
simulation_quality_best;cosine;5;0.05;1;1089.0;919.0;661.0;491.0;0.689240506329;0.542330677291;0.607023411371
simulation_quality_best;cosine;5;0.25;1;1435.0;1169.0;411.0;145.0;0.908227848101;0.551075268817;0.685946462715
simulation_quality_best;cosine;5;0.5;1;1580.0;1580.0;0.0;0.0;1.0;0.5;0.666666666667
simulation_quality_best;jensen;5;0.05;1;1052.0;724.0;856.0;528.0;0.66582278481;0.592342342342;0.626936829559
simulation_quality_best;jensen;5;0.25;1;1575.0;1507.0;73.0;5.0;0.996835443038;0.511031797534;0.675675675676
simulation_quality_best;jensen;5;0.5;1;1580.0;1580.0;0.0;0.0;1.0;0.5;0.666666666667
simulation_quality_best;kullback leibler;5;0.05;1;421.0;122.0;1458.0;1159.0;0.266455696203;0.77532228361;0.396608572774
simulation_quality_best;kullback leibler;5;0.25;1;238.0;0.0;1580.0;1342.0;0.150632911392;1.0;0.261826182618
simulation_quality_best;kullback leibler;5;0.5;1;88.0;0.0;1580.0;1492.0;0.0556962025316;1.0;0.10551558753
simulation_quality_best;mean kullback leibler;5;0.05;1;1352.0;1028.0;552.0;228.0;0.855696202532;0.568067226891;0.682828282828
simulation_quality_best;mean kullback leibler;5;0.25;1;1580.0;1570.0;10.0;0.0;1.0;0.501587301587;0.668076109937
simulation_quality_best;mean kullback leibler;5;0.5;1;1580.0;1580.0;0.0;0.0;1.0;0.5;0.666666666667
simulation_quality_best;symmetric kullback leibler;5;0.05;1;1352.0;1028.0;552.0;228.0;0.855696202532;0.568067226891;0.682828282828
simulation_quality_best;symmetric kullback leibler;5;0.25;1;1580.0;1570.0;10.0;0.0;1.0;0.501587301587;0.668076109937
simulation_quality_best;symmetric kullback leibler;5;0.5;1;1580.0;1580.0;0.0;0.0;1.0;0.5;0.666666666667
simulation_quality_best;cosine;6;0.05;1;1038.0;942.0;638.0;542.0;0.656962025316;0.524242424242;0.583146067416
simulation_quality_best;cosine;6;0.25;1;1425.0;1182.0;398.0;155.0;0.901898734177;0.546605293441;0.680678289945
simulation_quality_best;cosine;6;0.5;1;1580.0;1580.0;0.0;0.0;1.0;0.5;0.666666666667
simulation_quality_best;jensen;6;0.05;1;1460.0;1257.0;323.0;120.0;0.924050632911;0.537357379463;0.679543867815
simulation_quality_best;jensen;6;0.25;1;1580.0;1580.0;0.0;0.0;1.0;0.5;0.666666666667
simulation_quality_best;jensen;6;0.5;1;1580.0;1580.0;0.0;0.0;1.0;0.5;0.666666666667
simulation_quality_best;kullback leibler;6;0.05;1;770.0;476.0;1104.0;810.0;0.487341772152;0.61797752809;0.544939844303
simulation_quality_best;kullback leibler;6;0.25;1;1406.0;1137.0;443.0;174.0;0.889873417722;0.552890287063;0.68202764977
